,mix_id,bandwidth,malicious,unselected,layer0,layer1,layer2
0,0,7.222983840621532,False,0.586,0.146,0.144,0.124
1,1,12.99495957855063,False,0.353,0.208,0.225,0.214
2,2,2.290532881897464,False,0.861,0.043,0.05,0.046
3,3,27.475737665430604,False,0.115,0.28,0.305,0.3
4,4,6.307483769780659,False,0.645,0.111,0.124,0.12
5,5,6.657052422554515,False,0.61,0.12,0.125,0.145
6,6,6.928901550879272,False,0.608,0.14,0.125,0.127
7,7,3.2235882923402825,False,0.803,0.074,0.064,0.059
8,8,15.160917700728795,False,0.325,0.216,0.227,0.232
9,9,8.85216557772823,False,0.532,0.145,0.153,0.17
10,10,0.5387593496234153,False,0.969,0.005,0.013,0.013
11,11,1.3608381733895494,False,0.904,0.037,0.029,0.03
12,12,8.665212500897265,False,0.537,0.174,0.146,0.143
13,13,3.2764987158085663,False,0.796,0.076,0.059,0.069
14,14,25.41910765216961,False,0.125,0.297,0.302,0.276
15,15,21.94056134492644,False,0.189,0.272,0.259,0.28
16,16,1.9197653236923973,False,0.878,0.034,0.049,0.039
17,17,10.862117738311412,False,0.444,0.177,0.189,0.19
18,18,0.0838740429849113,False,0.993,0.002,0.005,0.0
19,19,0.0893253822484195,False,0.994,0.002,0.004,0.0
20,20,11.38880840249868,False,0.419,0.187,0.195,0.199
21,21,6.023053028819617,False,0.646,0.126,0.118,0.11
22,22,8.741528699180984,False,0.525,0.158,0.164,0.153
23,23,7.176543829821795,False,0.59,0.142,0.143,0.125
24,24,23.50657446422732,False,0.184,0.256,0.277,0.283
25,25,0.3143266094918713,False,0.979,0.005,0.01,0.006
26,26,34.23776541885047,False,0.069,0.3,0.308,0.323
27,27,5.67274083994676,False,0.65,0.127,0.099,0.124
28,28,9.814402331270497,False,0.483,0.165,0.176,0.176
29,29,13.170307805453872,False,0.355,0.201,0.233,0.211
30,30,12.557068468618962,False,0.387,0.183,0.221,0.209
31,31,0.0879598211306067,False,0.993,0.005,0.001,0.001
32,32,0.955780102015627,False,0.93,0.017,0.03,0.023
33,33,1.9370167181767808,False,0.852,0.046,0.058,0.044
34,34,1.288079001994806,False,0.919,0.026,0.034,0.021
35,35,26.5504624578652,False,0.141,0.295,0.279,0.285
36,36,3.6007512530150185,False,0.774,0.069,0.081,0.076
37,37,3.366730204460028,False,0.78,0.075,0.069,0.076
38,38,31.920568058554963,False,0.1,0.299,0.312,0.289
39,39,12.971634235996682,False,0.375,0.222,0.209,0.194
40,40,0.3265718338119953,False,0.985,0.006,0.006,0.003
41,41,0.217864479105697,False,0.987,0.004,0.006,0.003
42,42,20.430784458454426,False,0.202,0.283,0.265,0.25
43,43,6.91864138133942,False,0.588,0.126,0.134,0.152
44,44,5.930846855383085,False,0.653,0.131,0.107,0.109
45,45,1.3804897480535747,False,0.899,0.029,0.042,0.03
46,46,0.00958687114735,False,1.0,0.0,0.0,0.0
47,47,0.1329325119137382,False,0.991,0.002,0.003,0.004
48,48,7.759660246133861,False,0.558,0.165,0.133,0.144
