,mix_id,bandwidth,malicious,unselected,layer0,layer1,layer2
0,0,7.222983840621532,False,0.233,0.247,0.257,0.263
1,1,12.99495957855063,False,0.216,0.256,0.278,0.25
2,2,2.290532881897464,False,0.244,0.251,0.256,0.249
3,3,27.475737665430604,False,0.267,0.251,0.243,0.239
4,4,6.307483769780659,False,0.245,0.251,0.266,0.238
5,5,6.657052422554515,False,0.238,0.234,0.248,0.28
6,6,6.928901550879272,False,0.252,0.264,0.258,0.226
7,7,3.2235882923402825,False,0.258,0.27,0.237,0.235
8,8,15.160917700728795,False,0.237,0.273,0.244,0.246
9,9,8.85216557772823,False,0.274,0.249,0.236,0.241
10,10,0.5387593496234153,False,0.284,0.249,0.24,0.227
11,11,1.3608381733895494,False,0.251,0.257,0.251,0.241
12,12,8.665212500897265,False,0.285,0.258,0.219,0.238
13,13,3.2764987158085663,False,0.251,0.255,0.242,0.252
14,14,25.41910765216961,False,0.26,0.234,0.266,0.24
15,15,21.94056134492644,False,0.258,0.254,0.238,0.25
16,16,1.9197653236923973,False,0.246,0.255,0.253,0.246
17,17,10.862117738311412,False,0.235,0.245,0.251,0.269
18,18,0.0838740429849113,False,0.253,0.273,0.234,0.24
19,19,0.0893253822484195,False,0.259,0.276,0.22,0.245
20,20,11.38880840249868,False,0.23,0.256,0.272,0.242
21,21,6.023053028819617,False,0.227,0.276,0.238,0.259
22,22,8.741528699180984,False,0.263,0.277,0.23,0.23
23,23,7.176543829821795,False,0.266,0.24,0.246,0.248
24,24,23.50657446422732,False,0.235,0.239,0.273,0.253
25,25,0.3143266094918713,False,0.264,0.252,0.232,0.252
26,26,34.23776541885047,False,0.268,0.236,0.244,0.252
27,27,5.67274083994676,False,0.245,0.251,0.255,0.249
28,28,9.814402331270497,False,0.266,0.246,0.234,0.254
29,29,13.170307805453872,False,0.26,0.251,0.251,0.238
30,30,12.557068468618962,False,0.245,0.248,0.254,0.253
31,31,0.0879598211306067,False,0.27,0.253,0.246,0.231
32,32,0.955780102015627,False,0.267,0.261,0.228,0.244
33,33,1.9370167181767808,False,0.269,0.217,0.251,0.263
34,34,1.288079001994806,False,0.236,0.265,0.272,0.227
35,35,26.5504624578652,False,0.254,0.28,0.248,0.218
36,36,3.6007512530150185,False,0.254,0.272,0.243,0.231
37,37,3.366730204460028,False,0.243,0.264,0.236,0.257
38,38,31.920568058554963,False,0.246,0.244,0.252,0.258
39,39,12.971634235996682,False,0.247,0.234,0.259,0.26
40,40,0.3265718338119953,False,0.292,0.255,0.224,0.229
41,41,0.217864479105697,False,0.238,0.263,0.228,0.271
42,42,20.430784458454426,False,0.248,0.252,0.243,0.257
43,43,6.91864138133942,False,0.265,0.257,0.244,0.234
44,44,5.930846855383085,False,0.251,0.244,0.261,0.244
45,45,1.3804897480535747,False,0.25,0.253,0.239,0.258
46,46,0.00958687114735,False,0.262,0.25,0.238,0.25
47,47,0.1329325119137382,False,0.25,0.279,0.227,0.244
48,48,7.759660246133861,False,0.248,0.239,0.264,0.249
49,49,0.2793450003174594,False,0.236,0.288,0.229,0.247
50,50,8.161581425684348,False,0.242,0.25,0.264,0.244
51,51,4.342795108664408,False,0.231,0.235,0.271,0.263
52,52,0.8587638635499052,False,0.236,0.271,0.25,0.243
53,53,37.47004998403759,False,0.231,0.261,0.243,0.265
54,54,0.0227918061569197,False,0.259,0.269,0.246,0.226
55,55,7.932677377941161,False,0.262,0.242,0.231,0.265
56,56,11.14858535654003,False,0.257,0.228,0.255,0.26
57,57,30.17996887956908,False,0.251,0.275,0.244,0.23
58,58,0.3813028211266771,False,0.248,0.253,0.255,0.244
59,59,94.71126009940475,False,0.26,0.242,0.216,0.282
60,60,0.7987480284864709,False,0.231,0.259,0.243,0.267
61,61,1.6179515512481009,False,0.251,0.251,0.25,0.248
62,62,1.264402736043084,False,0.252,0.263,0.247,0.238
63,63,6.635158713912974,False,0.249,0.249,0.275,0.227
64,64,31.435559910492543,False,0.262,0.232,0.253,0.253
65,65,3.1634735148191373,False,0.233,0.279,0.238,0.25
66,66,0.4562868005229911,False,0.234,0.256,0.256,0.254
67,67,25.3168529824582,False,0.256,0.237,0.232,0.275
68,68,3.9157126944261527,False,0.221,0.243,0.28,0.256
69,69,6.770693549544401,False,0.23,0.244,0.265,0.261
70,70,3.361818667947304,False,0.226,0.261,0.247,0.266
71,71,0.6111449104971354,False,0.255,0.256,0.262,0.227
72,72,2.7018299850616474,False,0.247,0.263,0.236,0.254
73,73,1.339083221836006,False,0.264,0.247,0.257,0.232
74,74,77.1456502908185,False,0.254,0.24,0.247,0.259
75,75,2.802672560202001,False,0.244,0.249,0.251,0.256
76,76,24.68825893105349,False,0.247,0.262,0.255,0.236
77,77,48.46296355796333,False,0.265,0.246,0.236,0.253
78,78,0.1597448422896347,False,0.249,0.256,0.238,0.257
79,79,0.3327312026818199,False,0.25,0.262,0.248,0.24
80,80,2.6531127052494243,False,0.272,0.25,0.234,0.244
81,81,11.255352376575642,False,0.261,0.251,0.239,0.249
82,82,0.0632118184623477,False,0.24,0.266,0.254,0.24
83,83,2.0766719696309788,False,0.273,0.238,0.228,0.261
84,84,0.0355688272188148,False,0.259,0.284,0.234,0.223
85,85,3.6218959505412034,False,0.266,0.271,0.231,0.232
86,86,1.7125584548985109,False,0.253,0.257,0.257,0.233
87,87,6.0866382728234125,False,0.24,0.256,0.248,0.256
88,88,10.046364148653572,False,0.255,0.252,0.253,0.24
89,89,0.0738613407176482,False,0.282,0.254,0.245,0.219
90,90,16.7230840538725,False,0.255,0.239,0.252,0.254
91,91,0.5466740411538141,False,0.251,0.256,0.253,0.24
92,92,2.9385253517050685,False,0.239,0.254,0.261,0.246
93,93,1.281768657579469,False,0.265,0.255,0.244,0.236
94,94,33.89342248706654,False,0.234,0.259,0.271,0.236
95,95,0.0014709770630048,False,0.273,0.246,0.227,0.254
96,96,21.00360954327244,False,0.255,0.269,0.233,0.243
97,97,22.073210127002856,False,0.256,0.231,0.245,0.268
98,98,0.6502917222494822,False,0.237,0.244,0.235,0.284
99,99,2.290177699999346,False,0.231,0.27,0.234,0.265
100,100,0.6359802654643859,False,0.263,0.254,0.257,0.226
101,101,1.3222231398093058,False,0.267,0.247,0.232,0.254
102,102,12.9413963854274,False,0.247,0.252,0.25,0.251
103,103,2.5292191964312503,False,0.25,0.264,0.247,0.239
104,104,3.519268408644296,False,0.246,0.264,0.232,0.258
105,105,1.4997860032045405,False,0.247,0.247,0.261,0.245
106,106,6.084198906349575,False,0.253,0.253,0.251,0.243
107,107,0.02154419763594,False,0.263,0.246,0.252,0.239
108,108,7.894888247926725,False,0.254,0.254,0.253,0.239
109,109,3.907179386139684,False,0.249,0.256,0.249,0.246
110,110,5.476944471140026,False,0.22,0.28,0.271,0.229
111,111,0.1831518826486015,False,0.242,0.274,0.238,0.246
112,112,3.2671667985645576,False,0.253,0.261,0.241,0.245
113,113,19.53676795064546,False,0.245,0.254,0.252,0.249
114,114,14.916328679639255,False,0.271,0.226,0.253,0.25
115,115,9.825930613321844,False,0.242,0.247,0.274,0.237
116,116,8.956546890791149,False,0.264,0.264,0.229,0.243
117,117,2.861526766558621,False,0.244,0.249,0.266,0.241
118,118,30.8546287624645,False,0.251,0.249,0.25,0.25
119,119,0.1900659948080126,False,0.238,0.257,0.254,0.251
120,120,0.1371263431812456,False,0.253,0.254,0.241,0.252
121,121,1.9306851636709896,False,0.244,0.254,0.27,0.232
122,122,0.9375757044916224,False,0.249,0.264,0.231,0.256
123,123,22.36016713700112,False,0.237,0.236,0.26,0.267
124,124,15.443832904465276,False,0.272,0.258,0.222,0.248
125,125,5.711313779207865,False,0.249,0.262,0.259,0.23
