,mix_id,bandwidth,malicious,unselected,layer0,layer1,layer2
0,0,7.222983840621532,False,0.24,0.23,0.262,0.268
1,1,12.99495957855063,False,0.262,0.242,0.243,0.253
2,2,2.290532881897464,False,0.262,0.239,0.259,0.24
3,3,27.475737665430604,False,0.26,0.253,0.242,0.245
4,4,6.307483769780659,False,0.252,0.252,0.255,0.241
5,5,6.657052422554515,False,0.229,0.266,0.261,0.244
6,6,6.928901550879272,False,0.249,0.244,0.239,0.268
7,7,3.2235882923402825,False,0.261,0.237,0.263,0.239
8,8,15.160917700728795,False,0.265,0.257,0.235,0.243
9,9,8.85216557772823,False,0.238,0.255,0.271,0.236
10,10,0.5387593496234153,False,0.24,0.255,0.252,0.253
11,11,1.3608381733895494,False,0.248,0.253,0.235,0.264
12,12,8.665212500897265,False,0.241,0.219,0.245,0.295
13,13,3.2764987158085663,False,0.254,0.232,0.26,0.254
14,14,25.41910765216961,False,0.211,0.263,0.268,0.258
15,15,21.94056134492644,False,0.225,0.239,0.266,0.27
16,16,1.9197653236923973,False,0.245,0.237,0.245,0.273
17,17,10.862117738311412,False,0.252,0.248,0.242,0.258
18,18,0.0838740429849113,False,0.258,0.237,0.257,0.248
19,19,0.0893253822484195,False,0.25,0.246,0.264,0.24
20,20,11.38880840249868,False,0.249,0.249,0.249,0.253
21,21,6.023053028819617,False,0.243,0.245,0.251,0.261
22,22,8.741528699180984,False,0.239,0.252,0.248,0.261
23,23,7.176543829821795,False,0.257,0.242,0.254,0.247
24,24,23.50657446422732,False,0.245,0.271,0.229,0.255
25,25,0.3143266094918713,False,0.218,0.267,0.264,0.251
26,26,34.23776541885047,False,0.249,0.25,0.256,0.245
27,27,5.67274083994676,False,0.264,0.255,0.232,0.249
28,28,9.814402331270497,False,0.246,0.26,0.257,0.237
29,29,13.170307805453872,False,0.249,0.254,0.259,0.238
30,30,12.557068468618962,False,0.276,0.268,0.225,0.231
31,31,0.0879598211306067,False,0.246,0.266,0.23,0.258
32,32,0.955780102015627,False,0.253,0.253,0.236,0.258
33,33,1.9370167181767808,False,0.238,0.256,0.241,0.265
34,34,1.288079001994806,False,0.238,0.264,0.224,0.274
35,35,26.5504624578652,False,0.23,0.269,0.248,0.253
36,36,3.6007512530150185,False,0.23,0.251,0.262,0.257
37,37,3.366730204460028,False,0.227,0.241,0.26,0.272
38,38,31.920568058554963,False,0.24,0.24,0.259,0.261
39,39,12.971634235996682,False,0.256,0.256,0.246,0.242
40,40,0.3265718338119953,False,0.277,0.249,0.236,0.238
41,41,0.217864479105697,False,0.248,0.25,0.231,0.271
42,42,20.430784458454426,False,0.241,0.254,0.244,0.261
43,43,6.91864138133942,False,0.252,0.259,0.238,0.251
44,44,5.930846855383085,False,0.234,0.26,0.248,0.258
45,45,1.3804897480535747,False,0.254,0.211,0.258,0.277
46,46,0.00958687114735,False,0.236,0.254,0.257,0.253
47,47,0.1329325119137382,False,0.243,0.244,0.255,0.258
48,48,7.759660246133861,False,0.209,0.283,0.25,0.258
49,49,0.2793450003174594,False,0.263,0.25,0.241,0.246
50,50,8.161581425684348,False,0.258,0.232,0.257,0.253
51,51,4.342795108664408,False,0.239,0.278,0.251,0.232
52,52,0.8587638635499052,False,0.225,0.26,0.259,0.256
53,53,37.47004998403759,False,0.218,0.261,0.264,0.257
54,54,0.0227918061569197,False,0.241,0.271,0.242,0.246
55,55,7.932677377941161,False,0.242,0.236,0.273,0.249
56,56,11.14858535654003,False,0.25,0.243,0.229,0.278
57,57,30.17996887956908,False,0.253,0.253,0.243,0.251
58,58,0.3813028211266771,False,0.239,0.229,0.264,0.268
59,59,94.71126009940475,False,0.248,0.258,0.251,0.243
60,60,0.7987480284864709,False,0.236,0.237,0.282,0.245
61,61,1.6179515512481009,False,0.24,0.255,0.234,0.271
62,62,1.264402736043084,False,0.252,0.24,0.267,0.241
63,63,6.635158713912974,False,0.279,0.242,0.237,0.242
64,64,31.435559910492543,False,0.235,0.248,0.246,0.271
65,65,3.1634735148191373,False,0.245,0.282,0.233,0.24
66,66,0.4562868005229911,False,0.255,0.252,0.246,0.247
67,67,25.3168529824582,False,0.258,0.252,0.251,0.239
68,68,3.9157126944261527,False,0.248,0.238,0.261,0.253
69,69,6.770693549544401,False,0.246,0.258,0.243,0.253
70,70,3.361818667947304,False,0.237,0.279,0.253,0.231
71,71,0.6111449104971354,False,0.239,0.225,0.253,0.283
72,72,2.7018299850616474,False,0.245,0.254,0.255,0.246
73,73,1.339083221836006,False,0.238,0.255,0.231,0.276
74,74,77.1456502908185,False,0.225,0.257,0.253,0.265
75,75,2.802672560202001,False,0.261,0.244,0.261,0.234
76,76,24.68825893105349,False,0.247,0.256,0.227,0.27
77,77,48.46296355796333,False,0.259,0.244,0.248,0.249
78,78,0.1597448422896347,False,0.25,0.247,0.259,0.244
79,79,0.3327312026818199,False,0.238,0.284,0.234,0.244
80,80,2.6531127052494243,False,0.255,0.256,0.234,0.255
81,81,11.255352376575642,False,0.273,0.254,0.234,0.239
82,82,0.0632118184623477,False,0.22,0.256,0.253,0.271
83,83,2.0766719696309788,False,0.235,0.277,0.25,0.238
84,84,0.0355688272188148,False,0.224,0.255,0.251,0.27
85,85,3.6218959505412034,False,0.247,0.252,0.246,0.255
86,86,1.7125584548985109,False,0.237,0.258,0.284,0.221
87,87,6.0866382728234125,False,0.226,0.263,0.254,0.257
88,88,10.046364148653572,False,0.263,0.232,0.251,0.254
89,89,0.0738613407176482,False,0.24,0.228,0.259,0.273
90,90,16.7230840538725,False,0.244,0.235,0.26,0.261
91,91,0.5466740411538141,False,0.285,0.252,0.252,0.211
92,92,2.9385253517050685,False,0.239,0.244,0.28,0.237
93,93,1.281768657579469,False,0.245,0.24,0.276,0.239
94,94,33.89342248706654,False,0.241,0.256,0.23,0.273
95,95,0.0014709770630048,False,0.234,0.261,0.276,0.229
96,96,21.00360954327244,False,0.252,0.244,0.263,0.241
97,97,22.073210127002856,False,0.248,0.258,0.254,0.24
98,98,0.6502917222494822,False,0.252,0.237,0.246,0.265
99,99,2.290177699999346,False,0.248,0.252,0.242,0.258
100,100,0.6359802654643859,False,0.237,0.25,0.253,0.26
101,101,1.3222231398093058,False,0.27,0.236,0.262,0.232
102,102,12.9413963854274,False,0.232,0.246,0.264,0.258
103,103,2.5292191964312503,False,0.259,0.258,0.258,0.225
104,104,3.519268408644296,False,0.269,0.246,0.241,0.244
105,105,1.4997860032045405,False,0.246,0.243,0.259,0.252
106,106,6.084198906349575,False,0.261,0.245,0.237,0.257
107,107,0.02154419763594,False,0.246,0.251,0.25,0.253
108,108,7.894888247926725,False,0.244,0.243,0.274,0.239
109,109,3.907179386139684,False,0.242,0.267,0.245,0.246
110,110,5.476944471140026,False,0.249,0.246,0.261,0.244
111,111,0.1831518826486015,False,0.256,0.262,0.233,0.249
112,112,3.2671667985645576,False,0.247,0.248,0.233,0.272
113,113,19.53676795064546,False,0.24,0.264,0.263,0.233
114,114,14.916328679639255,False,0.259,0.245,0.253,0.243
115,115,9.825930613321844,False,0.263,0.236,0.274,0.227
116,116,8.956546890791149,False,0.258,0.246,0.258,0.238
117,117,2.861526766558621,False,0.27,0.251,0.243,0.236
118,118,30.8546287624645,False,0.268,0.261,0.221,0.25
119,119,0.1900659948080126,False,0.255,0.236,0.258,0.251
120,120,0.1371263431812456,False,0.243,0.253,0.253,0.251
121,121,1.9306851636709896,False,0.222,0.258,0.247,0.273
122,122,0.9375757044916224,False,0.239,0.268,0.254,0.239
123,123,22.36016713700112,False,0.244,0.28,0.229,0.247
124,124,15.443832904465276,False,0.271,0.244,0.224,0.261
125,125,5.711313779207865,False,0.243,0.251,0.258,0.248
126,126,6.047686919997623,False,0.248,0.254,0.241,0.257
127,127,7.998192931195344,False,0.229,0.26,0.254,0.257
128,128,1.5167062947819905,False,0.242,0.264,0.256,0.238
129,129,0.3481899236225113,False,0.268,0.251,0.237,0.244
130,130,4.807254603128095,False,0.248,0.246,0.264,0.242
131,131,7.711019028269362,False,0.243,0.241,0.259,0.257
132,132,4.795594057111031,False,0.229,0.249,0.27,0.252
133,133,11.559929834362556,False,0.235,0.266,0.24,0.259
134,134,3.8190009019596687,False,0.257,0.238,0.258,0.247
135,135,1.466411300327974,False,0.254,0.225,0.268,0.253
136,136,8.901143892301736,False,0.267,0.25,0.223,0.26
137,137,2.8571998466233444,False,0.243,0.25,0.253,0.254
138,138,11.889867506777808,False,0.268,0.249,0.256,0.227
139,139,0.9195818248964468,False,0.257,0.249,0.235,0.259
140,140,2.3053450235224253,False,0.263,0.233,0.277,0.227
141,141,8.096075194659191,False,0.266,0.25,0.241,0.243
142,142,0.751775071113991,False,0.265,0.255,0.256,0.224
143,143,2.4595785433059683,False,0.252,0.245,0.26,0.243
144,144,3.891781232841648,False,0.251,0.256,0.261,0.232
145,145,0.292116811337053,False,0.249,0.27,0.254,0.227
146,146,9.803961662234263,False,0.255,0.238,0.258,0.249
147,147,51.77541547457985,False,0.268,0.235,0.253,0.244
148,148,2.5319028068276888,False,0.228,0.244,0.269,0.259
149,149,4.562192836192854,False,0.252,0.238,0.249,0.261
150,150,8.61353971130908,False,0.251,0.268,0.248,0.233
151,151,67.51846359327342,False,0.258,0.227,0.268,0.247
152,152,11.495420107189258,False,0.24,0.261,0.26,0.239
153,153,4.405396693080306,False,0.231,0.277,0.242,0.25
154,154,0.4959873145009962,False,0.248,0.265,0.246,0.241
155,155,26.645763410221992,False,0.254,0.25,0.229,0.267
156,156,6.853165139600421,False,0.232,0.244,0.251,0.273
157,157,20.066616589814743,False,0.248,0.252,0.278,0.222
158,158,0.0375756180266627,False,0.24,0.256,0.258,0.246
159,159,13.187899372669644,False,0.246,0.23,0.263,0.261
160,160,1.2152890886855496,False,0.267,0.275,0.222,0.236
161,161,19.22685826587295,False,0.216,0.277,0.242,0.265
162,162,0.6271096883777841,False,0.265,0.215,0.259,0.261
163,163,18.72887515554368,False,0.268,0.239,0.243,0.25
164,164,3.9292103424328686,False,0.25,0.232,0.248,0.27
165,165,2.3393090310139257,False,0.252,0.247,0.237,0.264
166,166,24.867240840138624,False,0.263,0.244,0.25,0.243
167,167,5.632373880265927,False,0.238,0.245,0.241,0.276
168,168,17.45434147466583,False,0.248,0.257,0.241,0.254
169,169,2.2683916274970994,False,0.255,0.234,0.25,0.261
170,170,0.0619951987809396,False,0.27,0.243,0.24,0.247
171,171,2.1270167981769474,False,0.255,0.265,0.26,0.22
172,172,3.379872505595225,False,0.222,0.271,0.265,0.242
173,173,42.70993628478921,False,0.262,0.235,0.251,0.252
174,174,2.5314490667518807,False,0.246,0.255,0.25,0.249
175,175,17.762081358496427,False,0.247,0.24,0.257,0.256
176,176,1.1570804771578131,False,0.25,0.26,0.25,0.24
177,177,4.222573709295002,False,0.245,0.235,0.247,0.273
178,178,0.4763666710242265,False,0.269,0.244,0.242,0.245
179,179,2.86954748604548,False,0.243,0.267,0.248,0.242
180,180,0.0187533066911735,False,0.259,0.248,0.246,0.247
181,181,10.8906449101972,False,0.241,0.249,0.243,0.267
182,182,1.6887829681466198,False,0.264,0.237,0.217,0.282
183,183,0.2594820159195495,False,0.246,0.254,0.249,0.251
184,184,3.397230520922319,False,0.268,0.258,0.219,0.255
185,185,0.0241332534733355,False,0.243,0.236,0.256,0.265
186,186,1.0272207065217922,False,0.233,0.249,0.247,0.271
187,187,7.090593059885896,False,0.245,0.269,0.251,0.235
188,188,5.210249530652914,False,0.255,0.269,0.236,0.24
189,189,32.02075535513658,False,0.265,0.246,0.259,0.23
190,190,19.98769091431034,False,0.253,0.255,0.241,0.251
191,191,2.6189648555762224,False,0.252,0.235,0.269,0.244
192,192,2.753021597530239,False,0.239,0.262,0.228,0.271
193,193,8.7061957695639,False,0.25,0.256,0.249,0.245
194,194,14.32120383531931,False,0.247,0.253,0.242,0.258
195,195,1.8480844586590168,False,0.267,0.247,0.228,0.258
196,196,22.551315278534425,False,0.236,0.27,0.258,0.236
197,197,13.760707187645425,False,0.262,0.243,0.262,0.233
198,198,5.670225030985644,False,0.262,0.235,0.284,0.219
199,199,7.590336890579204,False,0.253,0.264,0.23,0.253
200,200,23.31266802515795,False,0.246,0.257,0.263,0.234
201,201,4.578252233253499,False,0.253,0.237,0.248,0.262
202,202,1.8779844687055,False,0.255,0.227,0.257,0.261
203,203,5.461126557003204,False,0.236,0.263,0.251,0.25
204,204,25.2266598200534,False,0.24,0.249,0.251,0.26
205,205,4.133888437800426,False,0.256,0.251,0.248,0.245
206,206,11.336738311246688,False,0.255,0.254,0.242,0.249
207,207,18.005917227378536,False,0.267,0.252,0.234,0.247
208,208,1.1436753347853688,False,0.242,0.279,0.249,0.23
209,209,31.71472443222913,False,0.255,0.252,0.245,0.248
210,210,2.471130161567515,False,0.269,0.245,0.247,0.239
211,211,0.2105038966763104,False,0.251,0.25,0.26,0.239
212,212,2.0321419869018675,False,0.252,0.255,0.262,0.231
213,213,4.190205391712156,False,0.255,0.235,0.264,0.246
214,214,2.1638907067901263,False,0.228,0.258,0.258,0.256
215,215,0.7416453383674813,False,0.254,0.249,0.253,0.244
216,216,1.6883383031248578,False,0.22,0.273,0.237,0.27
217,217,1.6497494898188416,False,0.256,0.255,0.224,0.265
218,218,16.87158044776085,False,0.235,0.263,0.267,0.235
219,219,12.868950632841532,False,0.252,0.251,0.251,0.246
220,220,22.923385786294592,False,0.236,0.252,0.247,0.265
221,221,3.265535612214956,False,0.245,0.267,0.251,0.237
222,222,9.757305194447422,False,0.239,0.252,0.256,0.253
223,223,0.2780085941671969,False,0.233,0.245,0.265,0.257
224,224,7.868681115545239,False,0.251,0.265,0.242,0.242
225,225,7.161751595978835,False,0.267,0.223,0.271,0.239
226,226,29.242513395980417,False,0.251,0.236,0.27,0.243
227,227,0.5521587751615542,False,0.261,0.239,0.265,0.235
228,228,1.5781088119553175,False,0.246,0.224,0.235,0.295
229,229,0.3257595690163537,False,0.258,0.272,0.23,0.24
230,230,10.403177501610578,False,0.251,0.244,0.264,0.241
231,231,0.1021139301845621,False,0.256,0.243,0.241,0.26
232,232,49.2912560776853,False,0.261,0.243,0.239,0.257
233,233,23.513458293083307,False,0.236,0.266,0.252,0.246
234,234,53.459331957308265,False,0.259,0.26,0.242,0.239
235,235,27.777460200375767,False,0.242,0.242,0.251,0.265
236,236,2.144143466645339,False,0.236,0.253,0.253,0.258
237,237,12.085844567095156,False,0.265,0.255,0.25,0.23
238,238,6.160429437940615,False,0.267,0.26,0.224,0.249
239,239,6.379008792031023,False,0.245,0.256,0.25,0.249
240,240,73.94556316443838,False,0.265,0.248,0.25,0.237
241,241,9.47665563932466,False,0.255,0.232,0.276,0.237
242,242,6.114727990225081,False,0.258,0.245,0.24,0.257
243,243,6.889048962045313,False,0.233,0.25,0.254,0.263
244,244,1.832588778776917,False,0.256,0.246,0.251,0.247
245,245,4.328665193557031,False,0.232,0.253,0.248,0.267
246,246,8.150550506225356,False,0.226,0.248,0.268,0.258
247,247,10.01948915615418,False,0.253,0.252,0.228,0.267
248,248,2.300555154704365,False,0.23,0.266,0.245,0.259
249,249,0.213007049101366,False,0.243,0.251,0.268,0.238
250,250,10.431524144016734,False,0.232,0.257,0.253,0.258
251,251,0.6197587119299981,False,0.239,0.241,0.264,0.256
252,252,13.83759226552309,False,0.254,0.248,0.261,0.237
253,253,6.942734167031842,False,0.255,0.278,0.229,0.238
254,254,2.657634444478408,False,0.245,0.26,0.24,0.255
255,255,0.3605711600887702,False,0.269,0.25,0.221,0.26
256,256,0.8334508334735075,False,0.256,0.245,0.284,0.215
257,257,9.633594444001591,False,0.26,0.255,0.246,0.239
258,258,1.5862574540070156,False,0.245,0.269,0.239,0.247
259,259,1.7447465832093836,False,0.257,0.237,0.238,0.268
260,260,12.508029152597413,False,0.257,0.272,0.249,0.222
261,261,1.605793060152638,False,0.258,0.243,0.243,0.256
262,262,4.329532117312704,False,0.268,0.266,0.224,0.242
263,263,1.814929460374292,False,0.269,0.227,0.26,0.244
264,264,2.0362097253929954,False,0.233,0.245,0.23,0.292
265,265,2.6834841349130487,False,0.249,0.245,0.254,0.252
266,266,10.705292134395725,False,0.254,0.257,0.244,0.245
267,267,7.946145326451713,False,0.254,0.227,0.262,0.257
268,268,3.353009036895849,False,0.25,0.224,0.264,0.262
269,269,0.4220476582836613,False,0.265,0.241,0.249,0.245
270,270,2.520038701155745,False,0.248,0.236,0.233,0.283
271,271,5.019844542652934,False,0.24,0.264,0.26,0.236
272,272,1.063383832261407,False,0.267,0.247,0.228,0.258
273,273,2.1583832852582074,False,0.249,0.255,0.229,0.267
274,274,1.139815020571446,False,0.253,0.234,0.275,0.238
275,275,9.86701705243387,False,0.244,0.253,0.244,0.259
276,276,0.3956574903864401,False,0.242,0.27,0.267,0.221
277,277,12.14869146635579,False,0.25,0.221,0.272,0.257
278,278,1.5920542574771797,False,0.245,0.262,0.253,0.24
279,279,15.24962894618619,False,0.239,0.256,0.256,0.249
280,280,1.0670714078486758,False,0.256,0.243,0.269,0.232
281,281,1.6915524490056897,False,0.251,0.249,0.24,0.26
282,282,4.515561257241879,False,0.275,0.271,0.222,0.232
283,283,11.152694850764822,False,0.258,0.272,0.227,0.243
284,284,6.10983737362435,False,0.26,0.285,0.234,0.221
285,285,32.135866050229325,False,0.256,0.261,0.273,0.21
286,286,2.227748069154916,False,0.248,0.238,0.275,0.239
287,287,32.25784000286614,False,0.242,0.255,0.283,0.22
288,288,2.850840460334559,False,0.249,0.245,0.239,0.267
289,289,6.289580182079582,False,0.244,0.267,0.24,0.249
290,290,10.06470117216622,False,0.243,0.25,0.256,0.251
291,291,5.779496541661914,False,0.244,0.244,0.264,0.248
292,292,1.1489848594343182,False,0.251,0.253,0.232,0.264
293,293,9.157897656117097,False,0.256,0.227,0.259,0.258
294,294,1.082810922824288,False,0.237,0.255,0.241,0.267
295,295,1.5835436975302024,False,0.242,0.26,0.254,0.244
296,296,2.85944528184916,False,0.262,0.231,0.231,0.276
297,297,43.00430225409702,False,0.247,0.235,0.244,0.274
298,298,19.55885628251375,False,0.239,0.228,0.256,0.277
299,299,11.11087382032709,False,0.267,0.253,0.246,0.234
300,300,17.242913133988758,False,0.273,0.231,0.258,0.238
301,301,10.83283570679808,False,0.269,0.254,0.244,0.233
302,302,0.0176053821848483,False,0.26,0.221,0.271,0.248
303,303,0.4565786914089608,False,0.248,0.253,0.249,0.25
304,304,9.296121971237069,False,0.232,0.264,0.256,0.248
305,305,4.291382867467148,False,0.239,0.254,0.265,0.242
306,306,8.883131834510213,False,0.236,0.269,0.253,0.242
307,307,20.985162734226027,False,0.251,0.242,0.232,0.275
308,308,14.29219654693308,False,0.233,0.257,0.262,0.248
309,309,12.491640394983069,False,0.266,0.264,0.248,0.222
310,310,0.3741965331442648,False,0.247,0.228,0.271,0.254
311,311,0.4565337798027671,False,0.254,0.235,0.23,0.281
312,312,17.361778530805942,False,0.223,0.231,0.28,0.266
313,313,0.7171020663204862,False,0.251,0.272,0.224,0.253
